"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
"Route de","Kerien","Boulvriag",22013,"Hent","Hent Kerien",,,
,"Kerjoly","Boulvriag",22013,"Kêriadenn","Kerjoli",,,
,"Kerlan","Boulvriag",22013,"Kêriadenn","Kerlann",,,
,"Kerlosquer","Boulvriag",22013,"Kêriadenn","Kerlosker",,,
,"Kermoal","Boulvriag",22013,"Kêriadenn","Kermoal",,,
,"Kerphilippe","Boulvriag",22013,"Kêriadenn","Kerfulup",,,
,"Keruel","Boulvriag",22013,"Kêriadenn","Keruhel",,,
,"Langoat Dour","Boulvriag",22013,"Kêriadenn","Langoad an Dour",,,
,"Langoat Huellan","Boulvriag",22013,"Kêriadenn","Langoad Uhelañ",,,
,"Moulin du Parc","Boulvriag",22013,"Kêriadenn","Milin ar Park",,,
,"Pen ar Roz","Boulvriag",22013,"Kêriadenn","Penn ar Roz",,,
,"Pen ar Vern","Boulvriag",22013,"Kêriadenn","Penn ar Vern",,,
,"Coat an Hor","Boulvriag",22013,"Kêriadenn","Koad ar C'horr",,,
,"Coat Rohan","Boulvriag",22013,"Kêriadenn","Koad Roc'han",,,
,"Pors an Ilis","Boulvriag",22013,"Kêriadenn","Porzh an Iliz",,,
,"Quatre Vents","Boulvriag",22013,"Kêriadenn","Quatre Vents - Kerenor",,,
,"Roscaradec","Boulvriag",22013,"Kêriadenn","Roskaradeg",,,
,"Tal an Dour","Boulvriag",22013,"Kêriadenn","Tal an Dour",,,
,"Toul ar Bleiz","Boulvriag",22013,"Kêriadenn","Toull ar Bleiz",,,
,"Toul ar Louzet","Boulvriag",22013,"Kêriadenn","Toull al Louzed",,,
,"Ty Glas","Boulvriag",22013,"Kêriadenn","Ti Glas",,,
,"Ty Losquet","Boulvriag",22013,"Kêriadenn","Ti Losket",,,
,"Ty Nevez","Boulvriag",22013,"Kêriadenn","Ti Nevez",,,
,"Vern","Boulvriag",22013,"Kêriadenn","Ar Vern",,,
,"Ville Blanche","Boulvriag",22013,"Kêriadenn","Ar Gerwenn",,,
,"Bod","Boulvriag",22013,"Kêriadenn","Ar Bod",,,
,"Bossant","Boulvriag",22013,"Kêriadenn","Bosant",,,
,"Boturon","Boulvriag",22013,"Kêriadenn","Boturon",,,
,"Coat an Drail","Boulvriag",22013,"Kêriadenn","Koad an Drailh",,,
,"Coat Coet","Boulvriag",22013,"Kêriadenn","Koad Koed",,,
,"Coat Men","Boulvriag",22013,"Kêriadenn","Koad Men",,,
,"Allee Coat Men","Boulvriag",22013,"Kêriadenn","Ale Koad Men",,,
,"Coat Negaret","Boulvriag",22013,"Kêriadenn","Koad Negared",,,
,"Coat Nestic","Boulvriag",22013,"Kêriadenn","Koad Nestig",,,
,"Cornambual","Boulvriag",22013,"Kêriadenn","Kornambual",,,
,"Courjou","Boulvriag",22013,"Kêriadenn","Kourjoù",,,
,"Crech Cant","Boulvriag",22013,"Kêriadenn","Krec'h Kann",,,
,"Crech Craviou","Boulvriag",22013,"Kêriadenn","Krec'h Kraviou",,,
,"Crech Mezle","Boulvriag",22013,"Kêriadenn","Krec'h Mêl",,,
,"Croas Nevez","Boulvriag",22013,"Kêriadenn","Kroaz Nevez",,,
,"Disquay","Boulvriag",22013,"Kêriadenn","An Diskae",,,
,"Penquer Disquay","Boulvriag",22013,"Kêriadenn","Penkêr an Diskae",,,
,"Drezit Vian","Boulvriag",22013,"Kêriadenn","Drezid Vihan",,,
,"Drezit Vraz","Boulvriag",22013,"Kêriadenn","Drezid Vras",,,
,"Felhan","Boulvriag",22013,"Kêriadenn","Felc'han",,,
,"Fretay","Boulvriag",22013,"Kêriadenn","Fretei",,,
,"Gaillastec","Boulvriag",22013,"Kêriadenn","Ar Gailhasteg",,,
,"Garnel","Boulvriag",22013,"Kêriadenn","Ar Garnel",,,
,"Croix du Garnel","Boulvriag",22013,"Kêriadenn","Kroaz ar Garnel",,,
,"Goajou","Boulvriag",22013,"Kêriadenn","Gwajoù",,,
,"Danouet","Boulvriag",22013,"Kêriadenn","An Dannoed",,,
,"Cosquer Danouet","Boulvriag",22013,"Kêriadenn","Kozhkêr an Dannoed",,,
,"Goas Levé","Boulvriag",22013,"Kêriadenn","Gwazh Leuve",,,
,"Goas Pren","Boulvriag",22013,"Kêriadenn","Gwazh Prenn",,,
,"Golledic Vraz","Boulvriag",22013,"Kêriadenn","Ar Golledig Vras",,,
,"Golledic Vian","Boulvriag",22013,"Kêriadenn","Ar Golledig Vihan",,,
,"Bois Crech Can","Boulvriag",22013,"Kêriadenn","Koad Krec'h Kann",,,
,"Rest Coat Men","Boulvriag",22013,"Kêriadenn","Rest Koad Men",,,
,"Coat Evenou","Boulvriag",22013,"Kêriadenn","Koad Evenoù",,,
,"Corong","Boulvriag",22013,"Kêriadenn","Ar C'horonk",,,
"Le","Moulin du Corong","Boulvriag",22013,"Kêriadenn","Milin ar C'horonk",,,
,"Cosquer Laniou","Boulvriag",22013,"Kêriadenn","Kozhkêr Lanioù",,,
