"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
"Parc du","Bois de Pins","Rieg",29236,"Koad","Koad-pin Lann Rieg",,,
,"Kernaour Vihan","Rieg",29236,"Kêriadenn","Kernaour Vihan",,,
,"Kernaour Vras","Rieg",29236,"Kêriadenn","Kernaour Vras",,,
,"Lesseye","Rieg",29236,"Kêriadenn","Lesei",,,
"Place d'","Ilminster","Rieg",29236,"Hent","Plasenn Ilminster",,,
"Ecole","Françoise Bosser","Rieg",29236,"Monumant","Skol Françoise Boser",,,
"Rue des","Vieux Chênes","Rieg",29236,"Hent","Straed an Derv Kozh",,,
,"Kerim","Rieg",29236,"Kêriadenn","Kerim",,,
,"Stang Kerim","Rieg",29236,"Kêriadenn","Stank Kerim",,,
"Etang des","Kaolins","Rieg",29236,"Dour","Lenn ar Vengleuz Kaolin",,,
"Fort du","Bélon","Rieg",29236,"Monumant","Ti-gward Belon",,,
"Passage du","Bélon","Rieg",29236,"Dour","Treizh Belon",,,
"Château de","Bélon","Rieg",29236,"Monumant","Kastell Belon",,,
,"Bas-Bourg","Ar Roc'h-Morvan",29237,"Kêriadenn","Traoñ Bourk",,,
"La","Roche-Maurice","Ar Roc'h-Morvan",29237,"Kumun","Ar Roc'h-Morvan",,,
"Château de La","Roche Maurice","Ar Roc'h-Morvan",29237,"Monumant","Kastell ar Roc'h Morvan",,,
,"Pont Christ","Ar Roc'h-Morvan",29237,"Diseurt","Pont Krist",,,
,"Valy Cloître","Ar Roc'h-Morvan",29237,"Kêriadenn","Ar Vali Gozh",,,
,"Pont-Christ Brézal","Ar Roc'h-Morvan",29237,"Monumant","Pont Krist Brezal",,,
"Rue des","Ecoles","Ar Roc'h-Morvan",29237,"Hent","Straed ar Skolioù",,,
"Ecole du","Bourg","Ar Roc'h-Morvan",29237,"Monumant","Skol ar Bourk",,,
"Pointe des","Capucins","Roskañvel",29238,"Beg","Beg Kerc'h",,,
"Presqu'île de","Roscanvel","Roskañvel",29238,"Beg","Gourenez Roskañvel",,,
"Fort de","Cornouaille","Roskañvel",29238,"Monumant","Kreñvlec'h Kerne",,,
"Fort des","Capucins","Roskañvel",29238,"Monumant","Kreñvlec'h ar C'habusined",,,
,"Moulin du Seigneur","Roskañvel",29238,"Diseurt","Meilh an Aotrou",,,
,"Keravres","Roskañvel",29238,"Diseurt","Keravez",,,
"Goulet de","Brest","Roskañvel",29238,"Dour","Mulgul Brest",,,
,"Kerviniou","Roskañvel",29238,"Kêriadenn","Kervinioù",,,
,"Quélern","Roskañvel",29238,"Kêriadenn","Kelern",,,
,"Roscanvel","Roskañvel",29238,"Kumun","Roskañvel",,,
"Baie de","Roscanvel","Roskañvel",29238,"Dour","Bae Roskañvel",,,
"Pointe de","Cornouaille","Roskañvel",29238,"Beg","Beg Kerne",,,
"Pointe des","Espagnols","Roskañvel",29238,"Beg","Beg ar Spagnoled",,,
"Pointe de","Tremet","Roskañvel",29238,"Beg","Ar C'hab Bras",,,
"La","Fraternité","Roskañvel",29238,"Karreg","Ar C'himpiroù",,,
,"Kerguinou","Roskañvel",29238,"Kêriadenn","Kerginou",,,
,"Beg ar Grogn","Roskañvel",29238,"Beg","Beg ar Grogn",,,
"Pointe de","Kerviniou","Roskañvel",29238,"Beg","Beg Kervinioù",,,
"Fort","Robert","Roskañvel",29238,"Monumant","Kreñvlec'h Beg al Lanv",,,
"Pointe des","Jacobins","Rosko",29239,"Beg","Penn Jakopin",,,
"Pointe des","Jacobins","Rosko",29239,"Beg","Perc'haridi",,,
"Pointe de","Bloscon","Rosko",29239,"Beg","Beg Bloskon",,,
,"Roscoff","Rosko",29239,"Kumun","Rosko",,,
"Île","Verte","Rosko",29239,"Enez","An Enez Glas",,,
,"Créach-Eliès","Rosko",29239,"Kêriadenn","Kreac'h Eliez",,,
,"Sainte Barbe","Rosko",29239,"Kêriadenn","Santez Barba",,,
,"Lagadennou","Rosko",29239,"Kêriadenn","Al Lagadennoù",,,
"Le","Laber","Rosko",29239,"Kêriadenn","An Aber",,,
,"Pen ar creac'h","Rosko",29239,"Kêriadenn","Penn ar C'hreac'h",,,
"Place de","Pen ar creac'h","Rosko",29239,"Diseurt","Plasenn Penn ar C'hreac'h",,,
,"Valanec","Rosko",29239,"Kêriadenn","Ar Valaneg",,,
"Clos du","Valanec","Rosko",29239,"Kêriadenn","Kloz ar Valaneg",,,
"Rue du","Valanec","Rosko",29239,"Hent","Straed ar Valaneg",,,
"Rue","Penn ar Creac'h","Rosko",29239,"Hent","Straed Penn ar C'hreac'h",,,
,"Kéraison","Rosko",29239,"Kêriadenn","Kerezoun",,,
"Clos de","Keraison","Rosko",29239,"Diseurt","Kloz Kerezoun",,,
"Enclos de","Keraison","Rosko",29239,"Diseurt","Kael Kerezoun",,,
"Promenade du","Docteur Victor Lefranc","Rosko",29239,"Hent","Pourmenadenn an Doktor Victor Lefranc",,,
"Rue de","Kerioual","Rosko",29239,"Hent","Straed Kerriwal",,,
"Impasse de","Kerioual","Rosko",29239,"Hent","Hent-dall Kerriwal",,,
,"Roch Trevigner","Rosko",29239,"Kêriadenn","Roc'h Trevigner",,,
,"Perharidy","Rosko",29239,"Kêriadenn","Perc'haridi",,,
,"Rannic","Rosko",29239,"Diseurt","Ranig",,,
"Rue des","Moguerou","Rosko",29239,"Hent","Straed ar Mogeroù",,,
"Ecole publique Les","Moguerou","Rosko",29239,"Monumant","Skol bublik ar Mogeroù",,,
"Plage de","Saint-Luc","Rosko",29239,"Dour","Aod Porzh ar Saoz",,,
"Rue","Jules Ferry","Rosko",29239,"Hent","Straed Jules Ferry",,,
"Rue de","Plymouth","Rosko",29239,"Hent","Straed Plymouth",,,
"Le","Rhun","Rosko",29239,"Kêriadenn","Ar Run",,,
"Rue du","Great Torrington","Rosko",29239,"Hent","Straed Great Torrington",,,
"Rue","Joseph Le Mat","Rosko",29239,"Hent","Straed Jozef ar Mad",,,
,"Port de Roscoff","Rosko",29239,"Porzh(-mor)","Porzh Rosko",,,
,"Vieux Port","Rosko",29239,"Porzh(-mor)","Porzh Kozh",,,
,"Kersulguen","Rosko",29239,"Kêriadenn","Kersulgen",,,
"Eglise","Notre-Dame de Croaz Batz","Rosko",29239,"Monumant","Iliz Intron-Varia Groaz Vaz",,,
,"Poul Brohou","Rosko",29239,"Kêriadenn","Poull Broc'hoù",,,
"Rue","Amiral Réveillère","Rosko",29239,"Hent","Straed an Amiral Réveillère",,,
,"Kernaoguer","Rosko",29239,"Kêriadenn","Kernaoger",,,
,"Roscogoz","Rosko",29239,"Kêriadenn","Roskogozh",,,
,"Roc'h Kroum","Rosko",29239,"Kêriadenn","Roc'h Kroumm",,,
"Plage de","Roc'h Kroum","Rosko",29239,"Diseurt","Porzh Roc'h Kroumm",,,
"Port de","Bloscon","Rosko",29239,"Porzh(-mor)","Porzh Bloskon",,,
"Square","Le Jeune","Rosko",29239,"Hent","Skwar Le Jeune",,,
,"Kerguennec","Rosko",29239,"Kêriadenn","Kergeneg",,,
,"Pen al Lan","Rosko",29239,"Kêriadenn","Penn al Lann",,,
,"Pors ar Bascon","Rosko",29239,"Kêriadenn","Porzh ar Baskon",,,
,"Duslen","Rosko",29239,"Monumant","An Duslenn",,,
,"Grande grève","Rosko",29239,"Diseurt","An Aod Vras",,,
"Impasse de la","Grande Grève","Rosko",29239,"Hent","Hent-dall an Aod Vras",,,
,"Keravel","Rosko",29239,"Kêriadenn","Keravel",,,
"Chapelle","Saint Sébastien","Rosko",29239,"Monumant","Chapel Sant Sebastian",,,
"Chapelle","Sainte Barbe","Rosko",29239,"Monumant","Chapel Santez Barba",,,
"Rue","Armand Rousseau","Rosko",29239,"Hent","Straed Armand Rouso",,,
"Rue des","Perles","Rosko",29239,"Hent","Ru Berlez",,,
"Chapelle","Sainte Anne","Rosko",29239,"Monumant","Chapel Santez Anna",,,
"Château du","Laber","Rosko",29239,"Monumant","Kastell an Aber",,,
"Villa","Saint-Luc","Rosko",29239,"Monumant","Kêr Sant Luk",,,
"Le","Vil","Rosko",29239,"Takad","Ar Vil",,,
"Villa","Kerléna","Rosko",29239,"Monumant","Kêr Lena",,,
"Fort du","Bloscon","Rosko",29239,"Monumant","Kreñv Bloskon",,,
"Rue du","Calvaire","Rosko",29239,"Hent","Straed ar C'halvar",,,
"Chapelle","Saint Nicolas","Rosko",29239,"Monumant","Chapel Sant Nikolaz",,,
"Cimetière du","Vil","Rosko",29239,"Monumant","Bered ar Vil",,,
"Le","Quélen","Rosko",29239,"Diseurt","Ar C'helenn",,,
"Fort de la","Croix","Rosko",29239,"Monumant","Kreñv ar Groaz",,,
"Chapelle","Saint Ninien","Rosko",29239,"Monumant","Chapel Sant Ninian",,,
"L'","Estacade","Rosko",29239,"Monumant","Ar Peulgae",,,
"Rue du","Belvédère","Rosko",29239,"Hent","Straed ar Were",,,
"Résidence","Le Belvédère","Rosko",29239,"Hent","Annez Ar Were",,,
"Centre de Loisirs","Kerjoie","Rosko",29239,"Monumant","Kreizenn-dudi Kerjoa",,,
"Boulevard","Sainte Barbe","Rosko",29239,"Hent","Boulouard Santez Barba",,,
"Rue","Jeanne d'Arc","Rosko",29239,"Hent","Straed Janed Ark",,,
,"Ruveic","Rosko",29239,"Kêriadenn","Ruveig",,,
"Clos de","Ruveic","Rosko",29239,"Hent","Kloz Ruveig",,,
"Rue","Alexis Gourvennec","Rosko",29239,"Hent","Straed Alexis Gourvenneg",,,
,"Rosnoën","Rosloc'hen",29240,"Kumun","Rosloc'hen",,,
,"Terenez","Rosloc'hen",29240,"Kêriadenn","Terenez",,,
"Île de","Térénez","Rosloc'hen",29240,"Enez","Enez-Terenez",,,
,"Kervézennec","Rosloc'hen",29240,"Kêriadenn","Kerwezhenneg",,,
,"Kervoïc","Rosloc'hen",29240,"Kêriadenn","Kervoig",,,
,"Le Seillou","Rosloc'hen",29240,"Kêriadenn","Ar Selioù",,,
,"Lamm ar Bleiz","Rosloc'hen",29240,"Diseurt","Lamm ar Bleiz",,,
"Le","Belvédère","Rosloc'hen",29240,"Diseurt","Ar Were",,,
"Belvédère de","Rosnoën","Rosloc'hen",29240,"Diseurt","Gwere Rosloc'hen",,,
,"Lanveur","Rosporden",29241,"Kêriadenn","Lanveur",,,
"Giratoire de","Coat Canton","Rosporden",29241,"Hent","Kroashent-tro Koad Kanton",,,
"La Croix","Lanveur","Rosporden",29241,"Kêriadenn","Kroez Lanveur",,,
,"Kerancornec","Rosporden",29241,"Kêriadenn","Kerc'horneg",,,
,"Kernével","Rosporden",29241,"Kêriadenn","Kernevel",,,
,"Locjean","Rosporden",29241,"Kêriadenn","Lokyann",,,
"Le","Moustoir","Rosporden",29241,"Kêriadenn","Ar Vouster",,,
,"Quistinit","Rosporden",29241,"Kêriadenn","Kistinid",,,
,"Rosporden","Rosporden",29241,"Kumun","Rosporden",,,
,"Dioulan","Rosporden",29241,"Kêriadenn","Dioulann",,,
"Foyer","Kan ar Mor","Rosporden",29241,"Diseurt","Oaled Kan ar Mor",,,
"Bourg de","Kernevel","Rosporden",29241,"Kêriadenn","Bourc'h Kernevel",,,
,"Coat Canton - Le Grand Bois","Rosporden",29241,"Kêriadenn","Koad Kanton - Ar C'hoad Bras",,,
"La","Haie","Rosporden",29241,"Kêriadenn","An Hae",,,
,"Navalhars","Rosporden",29241,"Kêriadenn","An Avalc'harzh",,,
,"Coat Meur","Rosporden",29241,"Kêriadenn","Koad Meur",,,
,"Coat Meet","Rosporden",29241,"Kêriadenn","Koad Med",,,
,"Coat Canton","Rosporden",29241,"Kêriadenn","Koad Kanton",,,
"Collège public","Germain Pensivy","Rosporden",29241,"Monumant","Skolak publik Germain Pensivi",,,
"La","Boissière","Rosporden",29241,"Kêriadenn","Ar Vujid",,,
"Rue","Jean Goarant","Rosporden",29241,"Hent","Straed Jean Gwarant",,,
,"Porzou","Rosporden",29241,"Kêriadenn","Ar Porzhoù",,,
"La","Maison Blanche","Rosporden",29241,"Monumant","An Ti Gwenn",,,
,"Rozanduc","Rosporden",29241,"Kêriadenn","Rozandug",,,
"Etang de","Rosporden","Rosporden",29241,"Dour","Lenn Rosporden",,,
"Manoir de","Coat Canton","Rosporden",29241,"Monumant","Maner Koad Kanton",,,
,"Boduon","Rosporden",29241,"Kêriadenn","Boduon",,,
,"Coat Land","Rosporden",29241,"Kêriadenn","Koad Lann",,,
,"Kerriou","Rosporden",29241,"Kêriadenn","Kerriou",,,
"Remise du","Moulin","Rosporden",29241,"Monumant","Karrdi ar Veilh",,,
"Ecole maternelle de","Parc An Breach","Rosporden",29241,"Monumant","Skol-vamm Parkambrec'h",,,
"Stade de","Rozanduc","Rosporden",29241,"Monumant","Stad Rozandug",,,
"Espace aquatique de","Rozanduc","Rosporden",29241,"Monumant","Kreizenn-gouronkañ Rozandug",,,
,"Ruveil","Rosporden",29241,"Diseurt","Ruvei",,,
"Parking de","Ruveil","Rosporden",29241,"Takad","Parklec'h Ruvei",,,
"Parking de la","Sablière","Rosporden",29241,"Takad","Parklec'h ar Poull-Sabl",,,
,"Saint-Éloi","Rosporden",29241,"Kêriadenn","Sant-Tiler",,,
"Chapelle","Saint Eloi","Rosporden",29241,"Monumant","Chapel sant Tiler",,,
"Maison d'Accueil Spécialisé (MAS)","Ty Aven","Rosporden",29241,"Monumant","Ti Degemer Arbennikaet (TDA) Ti Aven",,,
,"Gorréquer","Rosporden",29241,"Kêriadenn","Gorrekêr",,,
"Manoir de","Kermadéoua","Rosporden",29241,"Monumant","Maner ar Vouster (Kervadeoua)",,,
"E.H.P.A.D.","Ker Lenn","Rosporden",29241,"Monumant","A.H.D.O.D. Kêr Lenn",,,
,"Kerroue","Sant-Kouled",29243,"Kêriadenn","Kerroue",,,
,"Saint-Laurent","Sant-Kouled",29243,"Kêriadenn","Sant-Laorañs",,,
,"Saint-Coulitz","Sant-Kouled",29243,"Kumun","Sant-Kouled",,,
,"Croas ar Born","Sant-Kouled",29243,"Kêriadenn","Kroaz ar Born",,,
,"Pontamoës","Sant-Kouled",29243,"Kêriadenn","Pontamoez",,,
,"Kerroc'h Vian","Sant-Kouled",29243,"Kêriadenn","Kerroc'h Vihan",,,
"Le","Quinquis","Sant-Kouled",29243,"Kêriadenn","Ar Genkiz",,,
,"Coatigrac'h","Sant-Kouled",29243,"Kêriadenn","Koatigrac'h",,,
"Le","Guilloc","Sant-Derc'hen",29244,"Kêriadenn","Ar Gilhog",,,
,"Lesvéoc","Sant-Derc'hen",29244,"Kêriadenn","Lesveog",,,
,"Saint-Derrien","Sant-Derc'hen",29244,"Kumun","Sant-Derc'hen",,,
,"Penhoat","Sant-Divi",29245,"Kêriadenn","Penc'hoad",,,
,"Kerhuel","Sant-Divi",29245,"Kêriadenn","Ar Geruhel",,,
,"Streat Nevez","Sant-Divi",29245,"Diseurt","Stread Nevez",,,
"Fontaine","Saint Divy","Sant-Divi",29245,"Monumant","Feunteun Sant Divi",,,
,"Valy Ledan","Sant-Divi",29245,"Diseurt","Ar Vali Ledan",,,
,"Saint-Divy","Sant-Divi",29245,"Kumun","Sant-Divi",,,
,"Saint-Eloy","Sant-Alar",29246,"Kumun","Sant-Alar",,,
"L'","Arbre du Chapon","Sant-Evarzeg",29247,"Kêriadenn","Ar C'habon",,,
,"Carn Yan","Sant-Evarzeg",29247,"Kêriadenn","Karn Yann",,,
,"Croaz an Itron","Sant-Evarzeg",29247,"Kêriadenn","Kroaz an Intron",,,
,"Saint-Evarzec","Sant-Evarzeg",29247,"Kumun","Sant-Evarzeg",,,
,"Troyalac'h","Sant-Evarzeg",29247,"Kêriadenn","Troyalac'h",,,
,"Croas Kerhornou","Sant-Evarzeg",29247,"Kêriadenn","Kroaz Kerc'hornoù",,,
,"Stang ar Chrenn","Sant-Evarzeg",29247,"Kêriadenn","Stank ar C'hren",,,
"Le","Dréau","Sant-Evarzeg",29247,"Kêriadenn","An Dreo",,,
"Chapelle du","Dréau","Sant-Evarzeg",29247,"Monumant","Chapel an Dreo",,,
,"Carn Rouzic","Sant-Evarzeg",29247,"Kêriadenn","Karn Rouzig",,,
,"Ty Broen","Sant-Evarzeg",29247,"Kêriadenn","Ti Broen",,,
"Rue de","Cornouaille","Sant-Evarzeg",29247,"Hent","Straed Kerne",,,
"Route de","Quimper","Sant-Evarzeg",29247,"Hent","Hent Kemper",,,
"Echangeur de","Troyalac'h","Sant-Evarzeg",29247,"Hent","Eskemmer Troyalac'h",,,
"Route de","Rosporden","Sant-Evarzeg",29247,"Hent","Hent Rosporden",,,
"Route de","Saint-Yvi","Sant-Evarzeg",29247,"Hent","Hent Sant-Ivi",,,
"Rue","Gustave Eiffel","Sant-Evarzeg",29247,"Hent","Straed Gustave Eiffel",,,
"Rue","Jean-Baptiste Godin","Sant-Evarzeg",29247,"Hent","Straed Jean-Baptiste Godin",,,
"Rue","Louis Lumière","Sant-Evarzeg",29247,"Hent","Straed Louis Lumière",,,
"Rue","Nicolas Appert","Sant-Evarzeg",29247,"Hent","Straed Nicolas Appert",,,
"Rue","Nicolas Sadi-Carnot","Sant-Evarzeg",29247,"Hent","Straed Nicolas Sadi-Carnot",,,
"Rue","Philippe Lebon","Sant-Evarzeg",29247,"Hent","Straed Philippe Lebon",,,
"Rue","Pierre et Marie Curie","Sant-Evarzeg",29247,"Hent","Straed Pierre ha Marie Curie",,,
"Zone Artisanale de","Troyalac'h","Sant-Evarzeg",29247,"Takad","Takad Artizanelezh Troyalac'h",,,
"Rue","André Michelin","Sant-Evarzeg",29247,"Hent","Straed André Michelin",,,
"Rue","Barthélémy Thimonnier","Sant-Evarzeg",29247,"Hent","Straed Barthélémy Thimonnier",,,
"Rue","Alexandre Darracq","Sant-Evarzeg",29247,"Hent","Straed Alexandre Darracq",,,
,"Hent Treuz","Sant-Evarzeg",29247,"Hent","Hent Treuz",,,
,"Goarem ar Valana","Sant-Evarzeg",29247,"Diseurt","Gwaremm ar Valana",,,
,"Kerhornou","Sant-Evarzeg",29247,"Kêriadenn","Kerc'hornoù",,,
"Place des","Anciens Combattants","Sant-Evarzeg",29247,"Diseurt","Plasenn ar Vrezelourien Gozh",,,
"Rue d'","Allae","Sant-Evarzeg",29247,"Hent","Rudalae",,,
,"Beg ar Veil","Sant-Evarzeg",29247,"Kêriadenn","Beg ar Veilh",,,
,"Beg ar Menez","Sant-Evarzeg",29247,"Kêriadenn","Beg ar Menez",,,
,"Belle Vue","Sant-Evarzeg",29247,"Kêriadenn","Belle Vue",,,
"Allée du","Bois","Sant-Evarzeg",29247,"Hent","Alez ar C'hoad",,,
"Allée des","Bruyères","Sant-Evarzeg",29247,"Hent","Alez ar Brug",,,
,"Carn Yan  Lae","Sant-Evarzeg",29247,"Kêriadenn","Karn Yann da Lae",,,
,"Cavardy","Sant-Evarzeg",29247,"Kêriadenn","Kavardi",,,
"Place du","Cavardy","Sant-Evarzeg",29247,"Hent","Plasenn Kavardi",,,
"Rue du","Cavardy","Sant-Evarzeg",29247,"Hent","Straed Kavardi",,,
"Hameau de la Fontaine du","Chapon","Sant-Evarzeg",29247,"Hent","Feunteun ar C'habon",,,
"Route du","Château d'Eau","Sant-Evarzeg",29247,"Hent","Hent ar C'hastell-dour",,,
,"Coat an Dréau","Sant-Evarzeg",29247,"Kêriadenn","Koad an Dreo",,,
,"Coat Pin","Sant-Evarzeg",29247,"Kêriadenn","Koad Pin",,,
,"Coataniou","Sant-Evarzeg",29247,"Kêriadenn","Koataniou",,,
"Chemin du","Cosquer","Sant-Evarzeg",29247,"Hent","Hentig ar Gozhkêr",,,
,"Cosquer Vian","Sant-Evarzeg",29247,"Kêriadenn","Kozhkêr Vihan",,,
,"Cosquer Vras","Sant-Evarzeg",29247,"Kêriadenn","Kozhkêr Vras",,,
,"Créac'h Veïl","Sant-Evarzeg",29247,"Kêriadenn","Krec'h ar Veilh",,,
,"Creac'h Land","Sant-Evarzeg",29247,"Kêriadenn","Krec'h Lann",,,
"Chemin de","Creac'h Veil","Sant-Evarzeg",29247,"Hent","Hentig Krec'h ar Veilh",,,
"Résidence de l'","Arbre du Chapon","Sant-Evarzeg",29247,"Hent","Annez ar C'habon",,,
"Rue de l'","Argoat","Sant-Evarzeg",29247,"Hent","Straed an Argoad",,,
"Rue d'","Armor","Sant-Evarzeg",29247,"Hent","Straed an Arvor",,,
"Rue des","Écoles","Sant-Evarzeg",29247,"Hent","Straed ar Skolioù",,,
"Allée de","Carn Yan","Sant-Evarzeg",29247,"Hent","Alez Karn Yann",,,
"Résidence de","Carn Yann","Sant-Evarzeg",29247,"Hent","Annez Karn Yann",,,
"Route de","Concarneau","Sant-Evarzeg",29247,"Hent","Hent Konk-Kerne",,,
,"Creis Ker","Sant-Evarzeg",29247,"Kêriadenn","Kreiz-kêr",,,
"Route de","Croas An Intron","Sant-Evarzeg",29247,"Hent","Hent Kroaz an Intron",,,
,"Dourmeur","Sant-Evarzeg",29247,"Kêriadenn","Dourmeur",,,
"Rue du","Dourmeur","Sant-Evarzeg",29247,"Hent","Straed Dourmeur",,,
"Chemin du","Dourmeur","Sant-Evarzeg",29247,"Hent","Hentig Dourmeur",,,
"Route du","Dréau","Sant-Evarzeg",29247,"Hent","Hent an Dreo",,,
"Moulin du","Dreau","Sant-Evarzeg",29247,"Kêriadenn","Meilh Dreo",,,
,"Dreau Nevez","Sant-Evarzeg",29247,"Kêriadenn","An Dreo Nevez",,,
,"Enez Raden","Sant-Evarzeg",29247,"Kêriadenn","Enez Raden",,,
,"Enez Raden Vian","Sant-Evarzeg",29247,"Kêriadenn","Enez Raden Vihan",,,
"Hameau des","Genêts","Sant-Evarzeg",29247,"Hent","Kêr ar Banal",,,
"Route d'","Ergué-Armel","Sant-Evarzeg",29247,"Hent","Hent an Erge-Vihan",,,
"Rue de la","Fontaine","Sant-Evarzeg",29247,"Hent","Straed ar Feunteun",,,
"Résidence de la","Fontaine","Sant-Evarzeg",29247,"Hent","Annez ar Feunteun",,,
"Route de La","Forêt-Fouesnant","Sant-Evarzeg",29247,"Hent","Hent ar Forest-Fouenant",,,
"Route de","Fouesnant","Sant-Evarzeg",29247,"Hent","Hent Fouenant",,,
,"Goarem an Itron","Sant-Evarzeg",29247,"Kêriadenn","Gwaremm an Intron",,,
"Allée de","Goarem Bihan","Sant-Evarzeg",29247,"Hent","Alez Gwaremm Vihan",,,
,"Goarem Donn","Sant-Evarzeg",29247,"Kêriadenn","Gwaremm Don",,,
,"Guilvinec","Sant-Evarzeg",29247,"Kêriadenn","Ar Gilvinneg",,,
"Le","Hars","Sant-Evarzeg",29247,"Kêriadenn","Ar C'harzh",,,
,"Hent Maria","Sant-Evarzeg",29247,"Hent","Hent Maria",,,
"Rue","Izella","Sant-Evarzeg",29247,"Hent","Straed Izelañ",,,
,"Keragen","Sant-Evarzeg",29247,"Kêriadenn","Kerrajen",,,
,"Kerallec","Sant-Evarzeg",29247,"Kêriadenn","Kerhaleg",,,
"Croissant","Kerallec","Sant-Evarzeg",29247,"Kêriadenn","Kroashent Kerhaleg",,,
,"Kerambesq","Sant-Evarzeg",29247,"Kêriadenn","Kerambesk",,,
,"Kerandraon","Sant-Evarzeg",29247,"Kêriadenn","Kerandraoñ",,,
,"Kerantous","Sant-Evarzeg",29247,"Kêriadenn","Kerantouz",,,
,"Kerarzul","Sant-Evarzeg",29247,"Kêriadenn","Kerarzul",,,
,"Kerdélec","Sant-Evarzeg",29247,"Kêriadenn","Kerdeleg",,,
,"Kerdelec Vian","Sant-Evarzeg",29247,"Kêriadenn","Kerdeleg Vihan",,,
,"Kergolvin Coz","Sant-Evarzeg",29247,"Kêriadenn","Kergolvinn Gozh",,,
,"Kergolvine Nevez","Sant-Evarzeg",29247,"Kêriadenn","Kergolvinn Nevez",,,
,"Kerguel","Sant-Evarzeg",29247,"Kêriadenn","Kergell",,,
,"Kerhalic","Sant-Evarzeg",29247,"Kêriadenn","Kerc'hallig",,,
,"Kerhuel","Sant-Evarzeg",29247,"Kêriadenn","Keruhel",,,
,"Keridraon","Sant-Evarzeg",29247,"Kêriadenn","Keridran",,,
"Résidence de","Kerilis","Sant-Evarzeg",29247,"Diseurt","Annez Keriliz",,,
,"Keriliscouac'h","Sant-Evarzeg",29247,"Kêriadenn","Keriliz Koualc'h",,,
,"Kerinou","Sant-Evarzeg",29247,"Kêriadenn","Kerrinou",,,
"Manoir de","Kerinou","Sant-Evarzeg",29247,"Kêriadenn","Maner Kerrinou",,,
,"Kerléguen","Sant-Evarzeg",29247,"Kêriadenn","Kerlegen",,,
,"Kerliou","Sant-Evarzeg",29247,"Kêriadenn","Kerliou",,,
,"Kermorvan","Sant-Evarzeg",29247,"Kêriadenn","Kervorvan",,,
,"Keromen","Sant-Evarzeg",29247,"Kêriadenn","Kerromen",,,
,"Keromen Vian","Sant-Evarzeg",29247,"Kêriadenn","Kerromen Vihan",,,
,"Kerongard","Sant-Evarzeg",29247,"Kêriadenn","Kerongar",,,
"Route de","Croas Kerhornou","Sant-Evarzeg",29247,"Hent","Hent Kroaz Kerc'hornoù",,,
,"Kerreun Ty Lae","Sant-Evarzeg",29247,"Kêriadenn","Kerrun Ti Lae",,,
,"Kerriou","Sant-Evarzeg",29247,"Kêriadenn","Kerriou an Dreo",,,
,"Kerriou Hoat","Sant-Evarzeg",29247,"Kêriadenn","Kerriou ar C'hoad",,,
,"Kerrun","Sant-Evarzeg",29247,"Kêriadenn","Kerrun",,,
,"Kerrun Vian","Sant-Evarzeg",29247,"Kêriadenn","Kerrun Vihan",,,
,"Kerthomas","Sant-Evarzeg",29247,"Kêriadenn","Kerdomaz",,,
"Route de","Kerthomas","Sant-Evarzeg",29247,"Hent","Hent Kerdomaz",,,
,"Kerverry","Sant-Evarzeg",29247,"Kêriadenn","Kerverig",,,
"Route de","Kerverry","Sant-Evarzeg",29247,"Hent","Hent Kerverig",,,
,"Kervoyen","Sant-Evarzeg",29247,"Kêriadenn","Kervouien",,,
,"Lanveron","Sant-Evarzeg",29247,"Kêriadenn","Lanveron",,,
,"Lanveron Vian","Sant-Evarzeg",29247,"Kêriadenn","Lanveron Vihan",,,
,"Leigndéro","Sant-Evarzeg",29247,"Kêriadenn","Leindero",,,
"Rue de la","Liberté","Sant-Evarzeg",29247,"Hent","Straed ar Frankiz",,,
,"Luzurtul","Sant-Evarzeg",29247,"Kêriadenn","Luzurtul",,,
,"Maner ar Vouster","Sant-Evarzeg",29247,"Monumant","Maner ar Vouster",,,
"Le","Manerick","Sant-Evarzeg",29247,"Kêriadenn","Manerig",,,
"Hameau du","Marc'h Du","Sant-Evarzeg",29247,"Kêriadenn","Kêr ar Marc'h Du",,,
,"Ménèz bian","Sant-Evarzeg",29247,"Diseurt","Menez Bihan",,,
,"Ménez Braz","Sant-Evarzeg",29247,"Kêriadenn","Menez Bras",,,
"Zone Artisanale de","Ménez Braz","Sant-Evarzeg",29247,"Takad","Takad Artizanelezh Menez Bras",,,
"Bois de","Ménez Braz Coz","Sant-Evarzeg",29247,"Koad","Koad Menez Bras Kozh",,,
"Chemin de","Ménez Braz Névez","Sant-Evarzeg",29247,"Hent","Hentig Menez Bras Nevez",,,
"Chemin de","Ménez Plenn","Sant-Evarzeg",29247,"Hent","Hentig Menez Plaen",,,
"Route de","Ménez Rohou","Sant-Evarzeg",29247,"Hent","Hent Menez Roc'hoù",,,
,"Ménez-Justissou","Sant-Evarzeg",29247,"Kêriadenn","Menez Justisoù",,,
"Route de","Meil Dréau","Sant-Evarzeg",29247,"Hent","Hent Meilh an Dreo",,,
,"Meil-Gwen","Sant-Evarzeg",29247,"Kêriadenn","Meilh Gwenn",,,
,"Menez Bras Coz","Sant-Evarzeg",29247,"Kêriadenn","Menez Bras Kozh",,,
,"Menez Bras Nevez","Sant-Evarzeg",29247,"Kêriadenn","Menez Bras Nevez",,,
