"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
,"Pen ar Guear","Landeda",29101,"Kêriadenn","Penn ar Gear",18/04/2019,151352
,"Beg an Neizh Pig","Landeda",29101,"Beg","Beg an Neizh Pik",18/04/2019,152017
,"Kerdreas Vian","Landeda",29101,"Kêriadenn","Kerdreazh Vihan",18/04/2019,151928
,"Kerverdy","Landeda",29101,"Kêriadenn","Kerverdi",18/04/2019,151935
,"Kervigorn","Landeda",29101,"Kêriadenn","Kervigorn",18/04/2019,150965
,"Kervire","Landeda",29101,"Kêriadenn","Kervire",18/04/2019,144841
,"Kersalou","Landeda",29101,"Kêriadenn","Kersaloù",18/04/2019,14296
,"Kerennoc","Landeda",29101,"Kêriadenn","Kerenog",18/04/2019,14286
,"Kerisquin","Landeda",29101,"Kêriadenn","Keriskin",18/04/2019,151923
,"Kerivin","Landeda",29101,"Kêriadenn","Kerivin",18/04/2019,151931
,"Cleus Fos","Landeda",29101,"Kêriadenn","Kleuz Foz",18/04/2019,150993
,"Corn ar Saos","Landeda",29101,"Kêriadenn","Korn ar Saoz",18/04/2019,14307
,"Croas Autret","Landeda",29101,"Kêriadenn","Kroaz Aotred",18/04/2019,151008
,"Croas Anez","Landeda",29101,"Kêriadenn","Kroaz Anez",18/04/2019,151003
,"Croas ar Bars","Landeda",29101,"Kêriadenn","Kroaz ar Barzh",18/04/2019,151004
,"Croas Conq","Landeda",29101,"Kêriadenn","Kroaz Konk",18/04/2019,126258
,"Leuhanchou","Landeda",29101,"Kêriadenn","Leuhañchoù",18/04/2019,151940
,"Leuriou","Landeda",29101,"Kêriadenn","Leurioù",18/04/2019,151941
,"Mesglas","Landeda",29101,"Kêriadenn","Mesglaz",18/04/2019,151944
,"Pen ar Stang","Landeda",29101,"Kêriadenn","Penn ar Stank",18/04/2019,151947
,"Bon Plaisir","Landeda",29101,"Kêriadenn","Bon Plaisir",18/04/2019,150988
,"Poull Manou","Landeda",29101,"Diseurt","Poull Manoù",18/04/2019,151970
,"Prat Allan","Landeda",29101,"Kêriadenn","Prad al Lann",18/04/2019,151950
,"Rosvenny","Landeda",29101,"Kêriadenn","Rosvenni",18/04/2019,14287
,"Stréat Glaz","Landeda",29101,"Kêriadenn","Stread C'hlas",18/04/2019,14300
,"Traon Gouez","Landeda",29101,"Kêriadenn","Traoñ Gouez",18/04/2019,151952
,"Tromenec","Landeda",29101,"Kêriadenn","Tromeneg",18/04/2019,151954
,"Ar Roc'h","Landeda",29101,"Kêriadenn","Ar Roc'h",18/04/2019,152036
"Les","Abers","Landeda",29101,"Diseurt","An Aberioù",18/04/2019,151968
,"Beg An Arvor","Landeda",29101,"Beg","Beg an Arvor",18/04/2019,152030
"Clos de la","Chapelle","Landeda",29101,"Hent","Kloz ar Chapel",18/04/2019,152014
,"Cantrezoc","Landeda",29101,"Kêriadenn","Kantrezog",18/04/2019,14290
,"Croas Huella","Landeda",29101,"Kêriadenn","Kroaz Uhelañ",18/04/2019,151009
,"Garidou","Landeda",29101,"Diseurt","Garidoù",18/04/2019,152022
